epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,222.779,1.28868,4.16442,1.42427,0.25154,0.31223,0.28774,0.19917,1.33447,2.48633,1.44628,0.00332375,0.00332375,0.0700862
2,427.2,1.18516,2.63461,1.33539,0.38823,0.36007,0.30822,0.20677,1.3119,2.9524,1.45335,0.00661315,0.00661315,0.0400423
3,630.871,1.21809,2.63074,1.33877,0.72246,0.24251,0.27514,0.18004,1.43796,3.16924,1.48859,0.00985855,0.00985855,0.00995433
4,834.377,1.23116,2.59955,1.31922,0.62901,0.37368,0.32332,0.21091,1.32426,3.14049,1.4481,0.009802,0.009802,0.009802
5,1037.6,1.21145,2.43812,1.31846,0.41297,0.38954,0.35831,0.2307,1.26426,2.48841,1.4232,0.009736,0.009736,0.009736
6,1240.59,1.19027,2.33664,1.31031,0.83048,0.38001,0.4114,0.2403,1.29333,2.46841,1.41667,0.00967,0.00967,0.00967
7,1443.72,1.18848,2.2789,1.30522,0.41775,0.46781,0.46181,0.26018,1.24457,2.37608,1.39244,0.009604,0.009604,0.009604
8,1646.62,1.16049,2.16508,1.28549,0.56324,0.40303,0.41338,0.26687,1.26339,2.26163,1.39447,0.009538,0.009538,0.009538
9,1849.32,1.14912,2.13838,1.27231,0.49273,0.49262,0.49975,0.28696,1.25441,2.24695,1.38469,0.009472,0.009472,0.009472
10,2052.52,1.12339,2.03612,1.25542,0.47333,0.51138,0.47956,0.29387,1.2082,2.18609,1.37157,0.009406,0.009406,0.009406
11,2255.61,1.1176,2.01178,1.24963,0.49878,0.44192,0.42281,0.26499,1.24268,2.27449,1.37405,0.00934,0.00934,0.00934
12,2458.91,1.10432,2.00214,1.25194,0.48949,0.47811,0.4937,0.29609,1.21876,2.21046,1.37166,0.009274,0.009274,0.009274
13,2661.71,1.10567,1.96936,1.26297,0.37491,0.51722,0.45729,0.27268,1.18231,2.13351,1.33041,0.009208,0.009208,0.009208
14,2864.71,1.08392,1.90017,1.23246,0.82326,0.42766,0.5248,0.30128,1.22238,2.16837,1.33767,0.009142,0.009142,0.009142
15,3067.94,1.09146,1.90082,1.24037,0.45394,0.50685,0.50374,0.30512,1.21245,2.06892,1.33067,0.009076,0.009076,0.009076
16,3270.93,1.06662,1.85669,1.22389,0.45525,0.54557,0.51035,0.31211,1.19102,2.02733,1.33183,0.00901,0.00901,0.00901
17,3474.17,1.04295,1.80034,1.20775,0.49472,0.53157,0.4948,0.29801,1.20726,2.11088,1.34964,0.008944,0.008944,0.008944
18,3677.07,1.04153,1.76676,1.21227,0.45366,0.513,0.47837,0.29582,1.17551,1.99656,1.33527,0.008878,0.008878,0.008878
19,3879.71,1.04692,1.76847,1.21059,0.57855,0.57866,0.54257,0.3224,1.18821,1.99039,1.3091,0.008812,0.008812,0.008812
20,4082.45,1.02693,1.73808,1.1943,0.47144,0.5996,0.54441,0.32351,1.19474,2.01013,1.32679,0.008746,0.008746,0.008746
21,4285.24,1.03558,1.731,1.19402,0.62397,0.56337,0.54631,0.31529,1.19387,1.90813,1.33052,0.00868,0.00868,0.00868
22,4487.85,1.02865,1.7138,1.19144,0.44764,0.5523,0.51246,0.32313,1.1706,1.96375,1.30457,0.008614,0.008614,0.008614
23,4690.58,1.02887,1.69771,1.19091,0.5076,0.53508,0.47209,0.30482,1.18122,2.0086,1.32398,0.008548,0.008548,0.008548
24,4893.52,1.02013,1.71884,1.19304,0.56775,0.54852,0.50801,0.31304,1.18599,1.96787,1.31178,0.008482,0.008482,0.008482
25,5096.19,0.99568,1.64519,1.17906,0.48309,0.5424,0.52554,0.32385,1.17605,1.85874,1.32441,0.008416,0.008416,0.008416
